Signature,Token1,Token1_Change,Token2,Token2_Change,BlockTime
pK4Teegr7kF3AQ8azCDTLyANc9MNhnNEbXos7A5MmiQkyXp5Kcgu6FkporYPkRSTvw8F3h3ssJnqEJnxexx6MXL,USDT,11.595239999995101,WSOL,0.08600363500045205,1740579739
4kW5SbmrSMgTztmZ2gqiGtFMQaRZGP5t11NCUAjUTCnf5xRcWUFpJAxJdgyUiJE7EdK6S4hgaN51eFN6VecsTPWG,USDT,35.45997900000657,WSOL,0.2629504229989834,1740579777
qTYqFVPdpGpc3j2rxQfuEYPg8bYFLzV3YnLpiCaQgLihVnNPVGonSdpSd5PuBVzPLTqvosAcaVgJDR5AYEysXPa,USDT,25.68669800000498,WSOL,0.18975492399999894,1740579575
4vj7UnWkghMtMcy83LhgJmo4tV5FvbuDNGBSFZZ9E9x6zMNo7AdwaDnnhejBFWHCy8Zyi46x7S2XeEC1RrPARkjc,USDT,100.22542300001078,WSOL,0.7430468719994678,1740579760
5HgsQfxzTGvaAKNfUwvK119NdZiCRxwF4sS4QK5Hzby8Nt2cnbpK3fsHWmyaVYSpod526ZG3sXGwQjPLnLvSfYya,USDT,0.0,WSOL,0.0,1740579910
2E18pCkgqGY9x18UBdCiPhVmNx5ELG1PLVf4XHwYck16BynGoa9J8t5ewQazY6DryWPxvrhigrju6juqzp7SSMyJ,USDT,1499.957614999992,WSOL,11.097632904999045,1740579704
3S3caBqqXruxaL6BUdRfReV8osFcmDuXnT7s2LCyJrnPVUW3bNu8xPFPTGJw9fKh97Jvp1PvF1zWNQTNT79AqSz3,USDT,859.6854859999876,WSOL,6.3570998790000885,1740579546
3nUEfeNUAAr4pHrip4SKtakHJBiTmB4VwSxuDubhoH1sT5TP1VPedarmhacWV6KbYvQfLT8Uv9aQ6zBkujaHVb4R,USDT,0.0,WSOL,0.0,1740579742
3QAY3J5gZto6i3QeEwNN641APQWoTQQgc8G1MMAMjpgP5xHjSoMMZv8XtCRudhnhSfPkZAy1ZgwvNBLX8YNpiTai,USDT,160.37178800000402,WSOL,1.1875539100001333,1740579725
GmQ38iXUjgFb4s2Szu9APv1YF6FjzTArc2vJW4tTKrFprf2qeLzziaxeiiMX2uaDQ6vDt4xEUFtJsA3cvMY4pyG,USDT,230.64066000000457,WSOL,1.710095442000238,1740579777
5Exhx7Xaqj65Jhyqmffq9EsfAxphuQeSCJZKn1FqYxvGsvoCBEyCU7wpYtq49Kp6dM3k9toP7ghziohH1fA5LK1j,USDT,33.612255000000005,WSOL,0.2488914189998468,1740579793
3CcoABXgqaGakSqWr1Lh1GeCUtB2NFjsZejwFz4JQVzgtnUE4XUjEbx7F5WMAiudxnWoHDN4yRweGAm53L3CkGCA,USDT,161.79911100000027,WSOL,1.1999999999989086,1740579739
2Chma6swUvABnX15zwrcubZ46Mxt7Ae25zZhMTTj8eegsJ1KGS2LY3LXpdUrgDexKV9KCnuXksf1jYNh8WDwEBXd,USDT,83.47936300000583,WSOL,0.6180374070008838,1740579704
3uGEqUjWEDouZEZaQJVNe242AdxSTWAZzNAywrc3GHmssw6DqCXUnb1pjwgPmCfh1N2LCgnFCcw4j972kodEPou3,USDT,39.73579199999949,WSOL,0.29473896399997557,1740579774
5dEqimH3bRuPGgFZZpQjFY5ZHGB195cEfevphQ7mQ5a5UrvPnSkvEkbPGB86gwMtgeqtUgnRSpirmNwKXqWLMMpX,USDT,881.591465000005,WSOL,6.53676213899962,1740579760
63fPGJkgaEuqc9rGbFtuNLhczrZoSjX7C8T7duHrkaaTaJ6YANvzyDtjwnPCMXfWBeEz82KEzWzYfbLtArrpXi6g,USDT,42.171623000002,WSOL,0.3118309129999943,1740579573
3tMyyGEYLhH5SpfGBRpqyyeWW5arwyDR7L1rWmFy9ZMJeeBZEaP1suB2sgc5Voa3WjZuzCPiNRSemZkK3iVotQ6C,USDT,1027.6158799999976,WSOL,7.606480921000184,1740579704
2CABxsosHH6atV1Yqcug5gd61XgfcSLaVMjbHLvJDpQA2CLWXConYKLzUDSJXj1GGRHiaTphSeSh81NG1NNFYsz4,USDT,0.0,WSOL,0.0,1740579739
3yGqXTe3m7ujxUgEjPomRqWso8v39V7eGgkMGmsVb9wX2FJHLcZZqmmsqcsAowmovpfi9aW7XkRMGQDMbrdm8rsq,USDT,13.184986000000208,WSOL,0.09753944400006276,1740579910
4btD4wR6g1ykZbTofCBJe8BQ6gpo5sP3R9No28xU3PsK5WRHbNpAcaEAVKjyc7wjsB214Vu12nFMV9LbouLwr2Xn,USDT,20.020000000004075,WSOL,0.14825926299999992,1740579725
9RMpsFbM89rLEZH5EMMFNMWeGitW5hY4pn65yQFGH7ZSkdKmGhNpU7RgzidXZMDLbXQ8bccBrgB1GgiMCUMTKj9,USDT,173.42699400000856,WSOL,1.2859885029993166,1740579739
SWggm43eFKthUhEhkEjYNM5NPrG6PNeGuPnjCbW8q7DQwc4RJj7SDU1EFGa33UpSXeKtxXLVHuoJaYAfCPS29Cu,USDT,43.70315000000119,WSOL,0.32407665899881977,1740579777
x4e6vWhDbeWDyZHumyLZB5KSXem91ZPFLdcJPXafkPYfXM4RNPpadCMtSc1KP3e89FG8rKJMvk8gJtFD78aNS6o,USDT,0.01999999998952262,WSOL,0.00014781100071559194,1740579546
2ioWezUob9My8oDTeNNHcqsYfrExvqLVQw3wXsRmvj5ZhNJps4T9BWs1iqMENeBUkAmwkev32wGYzAmSwzZ1qSSW,USDT,113.05560200000764,WSOL,0.8370121369989647,1740579793
4DY7iuSgvbaiduH9W1S54gGbtsgJq2ER7qFUzHE65k6Ns1NCViNzh1P7JdaoqHdQVT7TnCHW3mzV53jNDroJ3nFf,USDT,42.45417599999928,WSOL,0.31496100399999705,1740579760
4Cva7PUuzyzdHZ64E19mT1YMBCHGYp2AMmbkRnAKK1dDnd2kMAJchZyn4SqdVMjaieJFMjJcbA5mZoHbBuHkf5g6,USDT,18.830732999995234,WSOL,0.13964411900008145,1740579772
4y11QQV8uvX6GcymT4LSyukcA3F4m3zkZKSejLe8HQ4unWW3kvQCEAi2AzxN97XZx5NHLVXePeoMeJi8XZeEfP1J,USDT,330.9355460000079,WSOL,2.448231354001109,1740579704
